title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											1階",8.3万円,3000円,8.3万円,8.3万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											1階",8.3万円,3000円,8.3万円,8.3万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											2階",8.6万円,3000円,8.6万円,8.6万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											2階",8.6万円,3000円,8.6万円,8.6万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											2階",8.7万円,3000円,8.7万円,8.7万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											3階",8.7万円,3000円,8.7万円,8.7万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											3階",8.9万円,3000円,8.9万円,8.9万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											3階",8.9万円,3000円,8.9万円,8.9万円,1K,25.39m2
マイユクール,東京都調布市国領町１,"
京王線/国領駅 歩4分
京王線/布田駅 歩8分
京王線/柴崎駅 歩15分
","
新築
3階建
","
											2階",9.2万円,3000円,9.2万円,9.2万円,1K,28.66m2
塚本アパートメント,東京都調布市菊野台１,"
京王線/柴崎駅 歩3分
京王線/つつじヶ丘駅 歩9分
京王線/国領駅 歩16分
","
築34年
7階建
","
											3階",8.9万円,10000円,8.9万円,8.9万円,1LDK,36.08m2
塚本アパートメント,東京都調布市菊野台１,"
京王線/柴崎駅 歩3分
京王線/つつじヶ丘駅 歩9分
京王線/国領駅 歩16分
","
築34年
7階建
","
											1階",13.9万円,10000円,13.9万円,13.9万円,2LDK,68.91m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											1階",8.3万円,3000円,8.3万円,8.3万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											3階",8.3万円,3000円,8.3万円,8.3万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											2階",8.6万円,3000円,8.6万円,8.6万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											2階",8.6万円,3000円,8.6万円,8.6万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											2階",8.6万円,3000円,8.6万円,8.6万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											2階",8.6万円,3000円,8.6万円,8.6万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											2階",8.7万円,3000円,8.7万円,8.7万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											2階",8.7万円,3000円,8.7万円,8.7万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											3階",8.7万円,3000円,8.7万円,8.7万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											3階",8.7万円,3000円,8.7万円,8.7万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											3階",8.9万円,3000円,8.9万円,8.9万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											3階",8.9万円,3000円,8.9万円,8.9万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											3階",8.9万円,3000円,8.9万円,8.9万円,1K,25.39m2
京王線 国領駅 3階建 新築,東京都調布市国領町１,"
京王線/国領駅 歩3分
京王線/布田駅 歩7分
京王線/柴崎駅 歩16分
","
新築
3階建
","
											2階",9.2万円,3000円,9.2万円,9.2万円,1K,28.66m2
